region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
Europe,Estonia,76.89146224529999,3.0,53910,1587.2110000000005,67282.09800000003,10,0,2,30,8,1,2,3,3,0,2,43,0,0,60,0,0
Europe,Finland,83.0527258628,2.0,45650,211.69300000000004,64331.256,4,0,0,8,2,0,1,1,1,0,0,10,0,0,12,0,0
Europe,France,76.54794808189999,193.0,30326576,60687.791000000216,33230048.50199984,225,9,37,346,111,10,42,90,61,0,198,305,0,0,1263,0,0
Europe,Georgia,61.815783649,12.0,282030,3847.554000000002,267366.50699999987,2,2,5,34,0,16,2,7,13,3,6,31,1,6,118,9,10
Europe,Germany,81.0712353446,52.0,7037030,85272.195,29722462.51499998,39,63,7,280,14,7,14,24,6,7,73,283,0,0,722,7,7
Europe,Germany East,81.0712353446,1.0,497050,1639.0,177221.0,1,0,0,9,1,0,0,0,1,0,0,10,0,0,11,0,0
Europe,Germany West,81.0712353446,1.0,5050,508.0,126508.0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0
Europe,Greece,67.32495466510001,106.0,4010570,26436.479000000025,3407665.79100001,136,4,5,277,91,3,0,37,12,10,125,187,2,0,1295,11,12
Europe,Hungary,66.1251728217,9.0,1181950,7929.514999999993,717859.0230000003,11,1,0,51,7,15,3,4,2,0,17,51,0,0,82,0,0
Europe,Ireland,80.1760440096,20.0,1113070,26451.132999999994,1822219.8959999913,66,10,4,307,71,1,36,15,24,0,32,370,0,0,452,0,0
Europe,Italy,71.833298427,24.0,15576586,33097.887,9735409.442000002,37,13,7,109,12,10,17,11,11,3,49,109,0,0,316,3,3
Europe,Kosovo,62.4709908341,10.0,27000,2034.9629999999995,177978.03500000003,0,0,2,16,0,3,1,1,1,0,11,8,0,0,58,0,0
Europe,Latvia,71.0071448737,1.0,191760,3132.9649999999997,194871.05300000022,10,0,0,56,14,1,23,1,2,1,0,81,0,0,85,1,1
Europe,Lithuania,70.2363124285,2.0,37950,1914.3400000000001,119979.44000000003,10,0,1,28,11,2,2,1,1,0,2,32,0,0,46,0,0
Europe,Luxembourg,81.0169388925,0.0,15350,477.517,1236.77,2,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0
